Dollars,Coins,Qrts,Dimes,Nickels,Pennies
0.35,2,1,1,0,0
0.75,3,3,0,0,0
0.1,2,0,0,2,0
1,4,4,0,0,0
0.5,2,2,0,0,0
1.29,13,3,4,2,4
1.83,13,6,2,2,3
1.23,24,2,3,6,13
1.66,16,3,6,6,1
2.13,12,8,1,0,3
1.02,15,2,3,3,7
0.59,9,1,2,2,4
0.5,2,2,0,0,0
0.35,3,1,0,2,0
4.57,42,12,11,7,12
1.13,9,4,0,2,3
3.19,27,10,4,4,9
0.82,6,3,0,1,2
0.82,6,3,0,1,2
1.71,20,5,3,1,11
1.5,6,6,0,0,0
1,4,4,0,0,0
2.41,18,7,3,7,1
1,6,3,2,1,0
0.2,2,0,2,0,0
1.81,10,6,3,0,1
0.2,7,0,1,1,5
0.26,9,0,1,2,6
0.83,10,1,5,1,3
1.06,6,4,0,1,1
0.5,2,2,0,0,0
0.49,8,1,1,2,4
0.25,1,1,0,0,0
0.45,3,1,2,0,0
1.16,17,3,3,0,11
0.53,10,0,3,4,3
0.66,5,2,1,1,1
1.1,12,0,10,2,0
3.27,24,10,3,9,2
2.95,22,9,5,3,5
0.03,3,0,0,0,3
0.86,10,3,0,1,6
0.87,14,1,5,1,7
0.25,1,1,0,0,0
2.51,22,7,5,4,6
1.52,15,5,1,2,7
0.63,7,2,0,2,3
0.26,8,0,2,0,6
1.16,7,4,1,1,1
0.7,15,1,3,1,10
3.53,30,10,7,5,8
1.57,11,5,2,2,2
1.11,6,4,1,0,1
0.72,13,1,3,2,7
0.75,3,3,0,0,0
0.1,1,0,1,0,0
0.1,1,0,1,0,0
0.02,2,0,0,0,2
4.06,48,10,10,7,21
2.07,14,6,5,1,2
1.29,15,4,2,0,9
0.9,11,2,3,1,5
